"id","drug_id","model_id","response_type","value","tissue_id","patient_id","dataset_id","patient","drug_name","standard_name","targets","treatment_type","class","class_name","source","batch_id","type","model","link","row"
"1888","70","M5.1.F530","mRECIST","PD","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F530","https://docs.google.com/spreadsheets/d/15w54f1plSLkTiAYAgRb9c-8sU_9PKN7P4jWe-od5Iqo/edit?usp=drivesdk","5"
"1888","70","M5.1.F530","best.average.response","51.3690","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F530","https://docs.google.com/spreadsheets/d/15w54f1plSLkTiAYAgRb9c-8sU_9PKN7P4jWe-od5Iqo/edit?usp=drivesdk","5"
"1888","70","M5.1.F530","slope","84.3148","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F530","https://docs.google.com/spreadsheets/d/15w54f1plSLkTiAYAgRb9c-8sU_9PKN7P4jWe-od5Iqo/edit?usp=drivesdk","5"
"1888","70","M5.1.F530","AUC","438.5860","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F530","https://docs.google.com/spreadsheets/d/15w54f1plSLkTiAYAgRb9c-8sU_9PKN7P4jWe-od5Iqo/edit?usp=drivesdk","5"
"1888","70","M5.1.F530","survival","70.0000","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F530","https://docs.google.com/spreadsheets/d/15w54f1plSLkTiAYAgRb9c-8sU_9PKN7P4jWe-od5Iqo/edit?usp=drivesdk","5"
"1889","73","M25.1.F45","mRECIST","SD","1","55","7","47904","BMN673","","","","","","","319","treatment","M25.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","25"
"1889","73","M25.1.F45","best.average.response","-6.7685","1","55","7","47904","BMN673","","","","","","","319","treatment","M25.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","25"
"1889","73","M25.1.F45","slope","-59.2893","1","55","7","47904","BMN673","","","","","","","319","treatment","M25.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","25"
"1889","73","M25.1.F45","AUC","141.0125","1","55","7","47904","BMN673","","","","","","","319","treatment","M25.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","25"
"1889","73","M25.1.F45","survival","177.0000","1","55","7","47904","BMN673","","","","","","","319","treatment","M25.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","25"
